,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
1804,PortlandOR2022Curr,2928152,41,1,11,Live,NA,747,Populus balsamifera ssp. trichocarpa,1,1.8,74.96528245,Private,Rights-of-Way,Transportation/Utility,109.412503,0,0,0,2
1805,PortlandOR2022Curr,2928150,41,1,1,Live,NA,242,Thuja plicata,1,26.8,6.018046286,Private,Residential,Residential,20160.13504,0,1,0,1
1806,PortlandOR2022Curr,2928255,41,1,1,Live,NA,312,Acer macrophyllum,1,20.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,11499.5617,0,0,0,2
1821,PortlandOR2022Curr,2928275,41,1,1,Live,NA,6696,Prunus laurocerasus,2,7.3,6.018046286,Private,Residential,Residential,1071.225951,0,0,0,1
1822,PortlandOR2022Curr,2928275,41,1,1,Live,NA,8502,Salix discolor,1,7.3,6.018046286,Private,Residential,Residential,2009.792754,5,0,0,3
1823,PortlandOR2022Curr,2928275,41,1,1,Live,NA,6696,Prunus laurocerasus,1,5.5,6.018046286,Private,Residential,Residential,1726.968516,0,0,0,1
1825,PortlandOR2022Curr,2928281,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,35,6.018046286,Private,Forest land,Unused/Other,28737.59156,0,0,0,2
1826,PortlandOR2022Curr,2928281,41,1,1,Live,NA,7454,Ilex aquifolium,1,6.1,6.018046286,Private,Forest land,Unused/Other,1828.491837,0,0,0,2
1841,PortlandOR2022Curr,2928281,41,1,1,Live,NA,312,Acer macrophyllum,1,14.7,6.018046286,Private,Forest land,Unused/Other,10609.49234,0,0,0,2
1842,PortlandOR2022Curr,2928224,41,1,14,Live,NA,768,Prunus emarginata,1,4.1,74.96528245,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,374.1313933,20,0,0,2
1843,PortlandOR2022Curr,2928224,41,1,1,Live,NA,312,Acer macrophyllum,1,5.4,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,146.4420507,95,0,0,2
1844,PortlandOR2022Curr,2928583,41,1,1,Live,NA,312,Acer macrophyllum,1,14.6,6.018046286,Private,Residential,Residential,15031.63535,0,1,0,3
1845,PortlandOR2022Curr,2928583,41,1,1,Live,NA,242,Thuja plicata,1,6.6,6.018046286,Private,Residential,Residential,1057.948822,0,1,0,3
1860,PortlandOR2022Curr,2928228,41,1,1,Live,NA,312,Acer macrophyllum,1,8.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1173.402594,5,0,0,2
1876,PortlandOR2022Curr,2928230,41,1,1,Live,NA,936,Sorbus aucuparia,1,7.6,6.018046286,Private,Residential,Residential,2406.500366,0,1,0,3
1877,PortlandOR2022Curr,2928301,41,2,1,Live,NA,241,Thuja occidentalis,1,6.3,6.018046286,Private,Multi-family,Multi-family,932.0714503,0,1,0,1
1878,PortlandOR2022Curr,2969158,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,40.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,33568.30638,5,0,0,2
1879,PortlandOR2022Curr,2969158,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,32.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,25938.18832,5,0,0,2
1890,PortlandOR2022Curr,2928095,41,1,1,Live,NA,747,Populus balsamifera ssp. trichocarpa,1,25,6.018046286,Private,Residential,Residential,18365.93807,10,0,0,2
1891,PortlandOR2022Curr,2928575,41,1,1,Dead,Yes,312,Acer macrophyllum,1,6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,0,NA,0,0,2
1892,PortlandOR2022Curr,2928575,41,1,12,Live,NA,312,Acer macrophyllum,1,4.9,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,1421.443631,0,0,0,2
1895,PortlandOR2022Curr,2928271,41,3,1,Live,NA,96,Picea pungens,1,8.1,6.018046286,Private,Residential,Residential,1530.449004,0,1,0,1
1896,PortlandOR2022Curr,2969148,41,2,1,Live,NA,130,Pinus sylvestris,1,9.3,6.018046286,Private,Multi-family,Multi-family,1587.778241,0,1,0,1
1897,PortlandOR2022Curr,2969146,41,2,1,Live,NA,771,Prunus avium,1,5.6,6.018046286,StateLocal,Rights-of-Way,Residential,947.3971034,0,1,1,1
1911,PortlandOR2022Curr,2969134,41,2,1,Live,NA,312,Acer macrophyllum,1,15.6,6.018046286,StateLocal,Forest land,Unused/Other,5242.000808,0,0,0,2
