"","EVALID","PLOTID","STATECD","CONDID","SUBP","STATUSCD","STANDING_DEAD_CD","SPCD","scientific","NBR_STEMS","DIA","TPA_UNADJ","OWNGRPCD","FIA_LANDUSE","ITREE_LANDUSE","LEAF_AREA_ITREE","CROWN_DIEBACK_CD","IS_MAINTAINED_AREA","IS_STREET_TREE","IS_PLANTED","PLT_CN","MTRE_CN","CND_CN"
"7","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",5,8.2,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",287.4796745725,10,0,0,NA,251083000489998,1262758599290487,140388
"8","AustinTX2023Curr",1114809,48,1,1,"Live",NA,61,"Juniperus ashei",3,13.7,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",1072.8085426699,5,0,0,NA,251083000489998,1262758603290487,140388
"15","AustinTX2023Curr",1114730,48,1,1,"Live",NA,756,"Prosopis glandulosa",4,8.8,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",381.5580929967,0,0,0,NA,251083021489998,1262759533290487,141519
"16","AustinTX2023Curr",1114730,48,1,1,"Live",NA,756,"Prosopis glandulosa",5,6.1,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",177.8657224457,0,0,0,NA,251083021489998,1262759535290487,141519
"23","AustinTX2023Curr",1114760,48,1,1,"Live",NA,602,"Juglans nigra",1,14.9,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",3987.3635280396,0,0,0,NA,251083060489998,488915110126144,143166
"24","AustinTX2023Curr",1114703,48,1,1,"Live",NA,461,"Celtis laevigata",1,5.9,6.0180462857,"Private","Residential","Residential",665.941662458,0,1,0,1,251083040489998,488915041126144,142358
"25","AustinTX2023Curr",1114770,48,3,1,"Live",NA,61,"Juniperus ashei",2,9.8,6.0180462857,"StateLocal","Forest land","Unused/Other",517.0671752184,0,0,0,NA,251083045489998,1262759880290487,142505
"34","AustinTX2023Curr",1114799,48,1,1,"Live",NA,61,"Juniperus ashei",1,8.2,6.0180462857,"Private","Forest land","Unused/Other",365.7235841152,5,0,0,NA,251083087489998,1262758674290487,144443
"45","AustinTX2023Curr",1114704,48,1,14,"Live",NA,973,"Ulmus crassifolia",1,4.9,74.9652824512,"OtherFederal","Forest land","Unused/Other",286.3130458917,0,0,0,2,297167301489998,488917098126144,429472857489998
"46","AustinTX2023Curr",1114693,48,2,1,"Live",NA,461,"Celtis laevigata",2,14.7,6.0180462857,"StateLocal","Forest land","Unused/Other",3984.8279467496,0,0,0,2,297167309489998,488917122126144,429473108489998
"47","AustinTX2023Curr",1089208,48,1,1,"Live",NA,838,"Quercus virginiana",1,12.8,6.0180462857,"StateLocal","Forest land","Unused/Other",2895.4271662154,5,0,0,2,297167314489998,488917137126144,429473256489998
