city,ai,climateclass
PortlandME,1.0707,humid
ProvidenceRI,0.959,humid
PortlandOR,0.9273,humid
TrentonNJ,0.9143,humid
BurlingtonVT,0.8639,humid
PhiladelphiaPA,0.8505,humid
ChicagoIL,0.8206,humid
ClevelandOH,0.7886,humid
BaltimoreMD,0.7718,humid
MadisonWI,0.7683,humid
SpringfieldMO,0.7616,humid
DetroitMI,0.7585,humid
PittsburghPA,0.7546,humid
RochesterNY,0.7509,humid
MilwaukeeWI,0.7506,humid
WashingtonDC,0.7467,humid
HoustonTX,0.7324,humid
DesMoinesIA,0.6962,humid
StLouisMO,0.691,humid
KansasCityMO,0.6737,humid
MinneapolisMN,0.6575,humid
LincolnNE,0.5205,dry sub-humid
WichitaKS,0.4675,semi-arid
FargoND,0.4544,semi-arid
AustinTX,0.4461,semi-arid
SanAntonioTX,0.4075,semi-arid
SanDiegoCA,0.1569,arid
