city,lat,lon,MAP_mm,Tmin_C
Chicago,41.8375,-87.6866,1038.352,-5.222222222
Houston,29.786,-95.3885,1374.648,8
Philadelphia,40.0077,-75.1339,1287.526,-1
Washington,38.9047,-77.0163,1157.986,-1.277777778
Detroit,42.3834,-83.1024,759.206,-5.444444444
San Diego,32.8313,-117.1222,248.666,10.33333333
Minneapolis,44.9635,-93.2678,872.49,-11.27777778
Baltimore,39.3051,-76.6144,1110.742,0.111111111
St. Louis,38.6359,-90.2451,1115.314,-2.444444444
Portland,45.5371,-122.65,1119.378,3.222222222
San Antonio,29.4632,-98.5238,822.452,6
Austin,30.3005,-97.7522,920.75,6.5
Pittsburgh,40.4397,-79.9763,973.328,-5.166666667
Kansas City,39.1238,-94.5541,968.502,-3.833333333
Cleveland,41.4764,-81.6805,846.836,-3.333333333
Milwaukee,43.0642,-87.9675,878.078,-6.611111111
Providence,41.823,-71.4187,1207.516,-4.222222222
Rochester,43.168,-77.6162,891.286,-5.944444444
Des Moines,41.5725,-93.6105,928.37,-8.277777778
Wichita,37.6895,-97.3443,871.474,-4.055555556
Madison,43.0822,-89.393,1020.572,-9.833333333
Trenton,40.2237,-74.7641,1159.002,-3.055555556
Lincoln,40.8099,-96.6784,745.236,-8.333333333
Springfield,37.1943,-93.2916,1181.354,-3.833333333
Fargo,46.8651,-96.8292,608.33,-15.61111111
Portland,43.6773,-70.2715,1222.248,-7.555555556
Burlington,44.4876,-73.2316,953.262,-8.777777778
