city,ecoregion1,ecoregion2,ecoregion3
AustinTX,great plains,south central semiarid prairies,texas blackland prairies
BaltimoreMD,eastern temperate forests,southeastern usa plains,northern piedmont
BurlingtonVT,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands
ChicagoIL,eastern temperate forests,central usa plains,central corn belt plains
ClevelandOH,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands
DesMoinesIA,great plains,temperate prairies,western corn belt plains
HoustonTX,great plains,texas-louisiana coastal plain,western gulf coastal plain
KansasCityMO,great plains,temperate prairies,western corn belt plains
MadisonWI,eastern temperate forests,central usa plains,southeastern wisconsin till plains
MilwaukeeWI,eastern temperate forests,central usa plains,southeastern wisconsin till plains
MinneapolisMN,eastern temperate forests,mixed wood plains,north central hardwood forests
PittsburghPA,eastern temperate forests,ozark/ouachita-appalachian forests,western allegheny plateau
PortlandME,eastern temperate forests,mixed wood plains,northeastern coastal zone
PortlandOR,marine west coast forest,marine west coast forest,willamette valley
ProvidenceRI,eastern temperate forests,mixed wood plains,northeastern coastal zone
RochesterNY,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands
SanAntonioTX,great plains,south central semiarid prairies,texas blackland prairies
SanDiegoCA,mediterranean california,mediterranean california,"california coastal sage, chaparral, and oak woodlands"
SpringfieldMO,eastern temperate forests,ozark/ouachita-appalachian forests,ozark highlands
StLouisMO,eastern temperate forests,southeastern usa plains,interior river valleys and hills
TrentonNJ,eastern temperate forests,mississippi alluvial and southeast usa coastal plains,atlantic coastal pine barrens
WashingtonDC,eastern temperate forests,southeastern usa plains,northern piedmont
