city,own2,mean_beta
AustinTX,Private,0.8204541543746942
BaltimoreMD,Private,0.9438604628454252
BurlingtonVT,Private,0.9109330858672667
ChicagoIL,Private,0.9481060606060606
ClevelandOH,Private,0.9528722600151172
DesMoinesIA,Private,0.9445912645463095
DetroitMI,Private,0.8961511035861686
FargoND,Private,0.8559839466089466
HoustonTX,Private,0.878379530972831
KansasCityMO,Private,0.9003123479776932
LincolnNE,Private,0.9462025896808506
MadisonWI,Private,0.9381956165794549
MilwaukeeWI,Private,0.9412866015971606
MinneapolisMN,Private,0.9351330237302699
PhiladelphiaPA,Private,0.957726748070083
PittsburghPA,Private,0.9209731822254509
PortlandME,Private,0.8307227600107346
PortlandOR,Private,0.9494403802948107
ProvidenceRI,Private,0.9130900933835945
SanAntonioTX,Private,0.8426595818601429
SanDiegoCA,Private,0.9722640299901055
SpringfieldMO,Private,0.9322674734501143
StLouisMO,Private,0.9638188608776844
TrentonNJ,Private,0.9273870169914473
WashingtonDC,Private,0.9663202734414855
WichitaKS,Private,0.9139332462409385
RochesterNY,Private,0.9186191193766952
AustinTX,Public,0.8197470775510702
BaltimoreMD,Public,0.956984787260845
BurlingtonVT,Public,0.9192264454412471
ChicagoIL,Public,0.8581577102032976
ClevelandOH,Public,0.9423856812561131
DesMoinesIA,Public,0.9310363651633493
DetroitMI,Public,0.9208968327590776
FargoND,Public,0.8347670250896058
HoustonTX,Public,0.8374834642179693
KansasCityMO,Public,0.8839964657364634
LincolnNE,Public,0.9128997457568886
MadisonWI,Public,0.925027923014936
MilwaukeeWI,Public,0.9073278603606473
MinneapolisMN,Public,0.9056400600921148
PhiladelphiaPA,Public,0.9558329537639882
PittsburghPA,Public,0.8635494935556424
PortlandME,Public,0.8949277370330002
PortlandOR,Public,0.8989891702012914
ProvidenceRI,Public,0.94509751752176
SanAntonioTX,Public,0.8208925371223759
SanDiegoCA,Public,0.9797979797979798
SpringfieldMO,Public,0.9164660736089307
StLouisMO,Public,0.9511573147461649
TrentonNJ,Public,0.9137249398593936
WashingtonDC,Public,0.9380476266039647
WichitaKS,Public,0.9266620859012163
RochesterNY,Public,0.9271543971688094
