own2,city,richness,Evar,EVALID,plot_count_Curr,city_acres,ForestService,OtherFederal,Private,StateLocal,Agriculture,Commercial/Industrial,Forest land,Multi-family,Nonsampled,OtherNonforest,Rangeland/Chaparral,Recreation/Cemetery,Residential,Rights-of-Way,Water,city.y.y,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,ecoregion1,ecoregion2,ecoregion3,classification_1,classification_2,classification_3
Private,AustinTX,48,0.2555376111268419,AustinTX2022Curr,227,195259.0350815,NA,1664.8703532669942,122290.13931451018,67093.02135052654,3203.63081709919,34927.60878321163,48182.55030744511,10785.437768414156,NA,NA,5067.391539489559,5590.003847571171,51944.611364258955,31346.79659081393,4211.004063196279,Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1915031,1145,shape,FALSE,TRUE,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590,great plains,south central semiarid prairies,texas blackland prairies,not forested,not forested,not forested
Public,AustinTX,36,0.27375293721973104,AustinTX2022Curr,227,195259.0350815,NA,1664.8703532669942,122290.13931451018,67093.02135052654,3203.63081709919,34927.60878321163,48182.55030744511,10785.437768414156,NA,NA,5067.391539489559,5590.003847571171,51944.611364258955,31346.79659081393,4211.004063196279,Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1915031,1145,shape,FALSE,TRUE,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590,great plains,south central semiarid prairies,texas blackland prairies,not forested,not forested,not forested
Private,BaltimoreMD,55,0.5286000947198541,BaltimoreMD2022Curr,213,58911.858261,NA,676.7399826313073,28833.590004579146,22527.72284184696,NA,12737.852313286652,3569.7747485913164,5601.479205363584,NA,NA,NA,4318.846521962537,12769.844992445893,13040.25504740743,6873.805432126556,Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2189589,2753.1,shape,FALSE,TRUE,America/New_York,1,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21201 21223 21224 21225 21226 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,1840001592,eastern temperate forests,southeastern usa plains,northern piedmont,forested,forested,forested
Public,BaltimoreMD,46,0.5483461588402514,BaltimoreMD2022Curr,213,58911.858261,NA,676.7399826313073,28833.590004579146,22527.72284184696,NA,12737.852313286652,3569.7747485913164,5601.479205363584,NA,NA,NA,4318.846521962537,12769.844992445893,13040.25504740743,6873.805432126556,Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2189589,2753.1,shape,FALSE,TRUE,America/New_York,1,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21201 21223 21224 21225 21226 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,1840001592,eastern temperate forests,southeastern usa plains,northern piedmont,forested,forested,forested
Private,BurlingtonVT,51,0.32727847440828906,BurlingtonVT2022Curr,197,9917.460333,NA,NA,3699.0376368241,2862.341428199898,640.710599962796,996.8434788532488,1411.7951515999948,523.6960090136239,NA,74.1315,NA,647.029986982309,1361.3357253220277,905.8366132899978,3356.081268,Burlington,Burlington,VT,Vermont,50007,Chittenden,44.4876,-73.2316,118409,1673.2,shape,FALSE,TRUE,America/New_York,2,05405 05401 05408 05406,1840002310,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Public,BurlingtonVT,35,0.3667351684523873,BurlingtonVT2022Curr,197,9917.460333,NA,NA,3699.0376368241,2862.341428199898,640.710599962796,996.8434788532488,1411.7951515999948,523.6960090136239,NA,74.1315,NA,647.029986982309,1361.3357253220277,905.8366132899978,3356.081268,Burlington,Burlington,VT,Vermont,50007,Chittenden,44.4876,-73.2316,118409,1673.2,shape,FALSE,TRUE,America/New_York,2,05405 05401 05408 05406,1840002310,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Private,ChicagoIL,24,0.7507113436027728,ChicagoIL2022Curr,191,149835.180852,NA,822.3956074853666,89020.1359889885,54873.557828375,191.73435397753408,37304.54458814093,1920.8784817763349,12422.015164944904,NA,NA,NA,10834.767220957277,37160.313861399336,44881.83575365256,5119.091427188322,Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8489066,4590.3,shape,FALSE,TRUE,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60827 60661 60660 60638 60639 60634 60636 60637 60630 60631 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494,eastern temperate forests,central usa plains,central corn belt plains,forested,woodland,woodland
Public,ChicagoIL,40,0.4500501989076918,ChicagoIL2022Curr,191,149835.180852,NA,822.3956074853666,89020.1359889885,54873.557828375,191.73435397753408,37304.54458814093,1920.8784817763349,12422.015164944904,NA,NA,NA,10834.767220957277,37160.313861399336,44881.83575365256,5119.091427188322,Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8489066,4590.3,shape,FALSE,TRUE,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60827 60661 60660 60638 60639 60634 60636 60637 60630 60631 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494,eastern temperate forests,central usa plains,central corn belt plains,forested,woodland,woodland
Private,ClevelandOH,34,0.6231052513543378,ClevelandOH2022Curr,186,52778.66274,NA,858.9450083540752,26112.182357367437,22532.50278008593,NA,13040.326900325012,512.2621086731822,1830.054766419692,NA,392.6954953537315,NA,3770.700476963728,14513.092735723363,15444.497662348735,3275.0325946498706,Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1679247,1825.4,shape,FALSE,TRUE,America/New_York,1,44135 44128 44119 44113 44112 44111 44110 44115 44114 44144 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,1840000596,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Public,ClevelandOH,40,0.5209998209937794,ClevelandOH2022Curr,186,52778.66274,NA,858.9450083540752,26112.182357367437,22532.50278008593,NA,13040.326900325012,512.2621086731822,1830.054766419692,NA,392.6954953537315,NA,3770.700476963728,14513.092735723363,15444.497662348735,3275.0325946498706,Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1679247,1825.4,shape,FALSE,TRUE,America/New_York,1,44135 44128 44119 44113 44112 44111 44110 44115 44114 44144 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,1840000596,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
